Sample_ID	Approximate altitude	Approximate latitude	Approximate longtitude
ABM006	700	3.98	13.18
DJA002	700	3.42	13.54
EBO001	600	2.93	11.16
FDM001	500	-3.07	26.04
G0001	800	-2.21	27.38
G0005	550	-2.2	13.4
G0007	600	1.56	12.85
G0008	60	-1.04	10.03
G0009	2100	-4.05	29.05
G0011	1600	-0.06	29.16
G0012	650	3.17	14.02
G0013	1600	-0.06	29.16
G0014	1000	-1	28
G0016	1300	-4.05	29.05
G0017	1000	-2.42	27.2
G0018	1800	-0.09	29.13
G0019	1300	-4.05	29.05
G0020	700	-0.56	27.03
G0021	3300	-1.46	29.42
G0026	600	2.47	12.08
G0028	500	-3.07	26.04
G0031	1300	-4.05	29.05
G0033	1000	-2.42	27.2
G0034	400	-4.59	12.56
G0036	700	3.15	13
Gb1wash	3600	-1.5	29.43
Gb2wash	600	-2.2	27.36
GDC002	700	3.15	13
GDC004	700	3.15	13
GDC005	700	3.15	13
LOB001	1800	-0.09	29.13
MTK001	3600	-1.5	29.43
MTM001	3300	-1.46	29.42
MTM002	3300	-1.46	29.42
MTM004	3300	-1.46	29.42
MTM005	3300	-1.46	29.42
MTM006	3300	-1.46	29.42
MTM008	3300	-1.46	29.42
MTM009	3300	-1.46	29.42
MTM010	3300	-1.46	29.42
MTM011	3300	-1.46	29.42
MTM012	3300	-1.46	29.42
MTM013	3300	-1.46	29.42
MTS001	3100	-1.39	29.59
MTS002	3100	-1.39	29.59
MTS003	3100	-1.39	29.59
BIT001	700	-0.56	27.03
EBO003	600	2.93	11.16
G0004	1600	-0.06	29.16
G0010	2100	-4.05	29.05
G0015	450	-1.3	15.3
G0029	650	3.12	14.05
G0030	3600	-1.5	29.43
IBA001	1600	-0.06	29.16
IBA002	1600	-0.06	29.16
MTM003	3100	-1.39	29.59
WAL001	900	-1	28
BE108	NA	NA	NA
BE109	NA	NA	NA
BE110	NA	NA	NA
BE111	NA	NA	NA
BE112	NA	NA	NA
BE114	NA	NA	NA
BE115	NA	NA	NA
BE116	NA	NA	NA
BE117	NA	NA	NA
BE118	NA	NA	NA
BE119	NA	NA	NA
BE121	NA	NA	NA
BE124	NA	NA	NA
BE208	NA	NA	NA
BE209	NA	NA	NA
BE210	NA	NA	NA
BE211	NA	NA	NA
BE212	NA	NA	NA
BE213	NA	NA	NA
BE214	NA	NA	NA
BE215	NA	NA	NA
BE216	NA	NA	NA
BE217	NA	NA	NA
BE218	NA	NA	NA
BE219	NA	NA	NA
BE221	NA	NA	NA
BE319	NA	NA	NA
EXB020.A0101	NA	NA	NA
EXB021.A0101	NA	NA	NA
EXB022.A0101	NA	NA	NA
EXB023.A0101	NA	NA	NA
EXB015.A2001	NA	NA	NA
EXB015.A2101	NA	NA	NA
EXB015.A2501	NA	NA	NA
EXB015.A2601	NA	NA	NA
LIB012.A0101	NA	NA	NA
LIB013.A0101	NA	NA	NA
LIB014.A0101	NA	NA	NA
LIB015.A0101	NA	NA	NA
LIB007.A0117	NA	NA	NA
BL105	NA	NA	NA
BL106	NA	NA	NA
BL107	NA	NA	NA
BL108	NA	NA	NA
BL110	NA	NA	NA
BL111	NA	NA	NA
BL112	NA	NA	NA
ERR2503700	NA	NA	NA
ERR2868193	NA	NA	NA
BS001	NA	NA	NA
BS005	NA	NA	NA
